PrimaryDiagnosisCode,PrimaryDiagnosisDescription,NumberOfDiagnoses
M1A.35,""Chronic gout due to renal impairment",161
I25.10,"Atherosclerotic heart disease of native coronary artery without angina pectoris",160
M90.642,""Osteitis deformans in neoplastic diseases",160
C40,"Malignant neoplasm of bone and articular cartilage of limbs",160
F91.1,""Conduct disorder",160
M1A.372,""Chronic gout due to renal impairment",160
F31.77,""Bipolar disorder",160
F12,"Cannabis related disorders",160
M05.311,"Rheumatoid heart disease with rheumatoid arthritis of right shoulder",160
M90.852,""Osteopathy in diseases classified elsewhere",160
E10.61,"Type 1 diabetes mellitus with diabetic arthropathy",160
F44.4,"Conversion disorder with motor symptom or deficit",160
H82.3,""Vertiginous syndromes in diseases classified elsewhere",160
A43.0,"Pulmonary nocardiosis",160
B97.1,"Enterovirus as the cause of diseases classified elsewhere",159
M05.151,"Rheumatoid lung disease with rheumatoid arthritis of right hip",159
C93.12,""Chronic myelomonocytic leukemia",159
M49.83,""Spondylopathy in diseases classified elsewhere",159
D13.1,"Benign neoplasm of stomach",159
J82,""Pulmonary eosinophilia",159
O10.13,"Pre-existing hypertensive heart disease complicating the puerperium",159
M06.21,""Rheumatoid bursitis",159
H35.013,""Changes in retinal vascular appearance",159
C67.2,"Malignant neoplasm of lateral wall of bladder",159
D27.0,"Benign neoplasm of right ovary",159
O9A.11,"Malignant neoplasm complicating pregnancy",159
M11.032,""Hydroxyapatite deposition disease",159
C17.8,"Malignant neoplasm of overlapping sites of small intestine",159
O10.113,""Pre-existing hypertensive heart disease complicating pregnancy",159
M63.842,""Disorders of muscle in diseases classified elsewhere",159
F11,"Opioid related disorders",158
D57.21,"Sickle-cell/Hb-C disease with crisis",158
O99.413,""Diseases of the circulatory system complicating pregnancy",158
C38.4,"Malignant neoplasm of pleura",158
H93.25,"Central auditory processing disorder",158
B08.21,"Exanthema subitum [sixth disease] due to human herpesvirus 6",158
D20,"Benign neoplasm of soft tissue of retroperitoneum and peritoneum",158
O24.1,""Pre-existing diabetes mellitus",158
H47.52,"Disorders of visual pathways in (due to) neoplasm",158
M06.061,""Rheumatoid arthritis without rheumatoid factor",158
I69,"Sequelae of cerebrovascular disease",158
D57.1,"Sickle-cell disease without crisis",158
C34.1,""Malignant neoplasm of upper lobe",158
T82.211,"Breakdown (mechanical) of coronary artery bypass graft",158
E11.22,"Type 2 diabetes mellitus with diabetic chronic kidney disease",158
E11.641,"Type 2 diabetes mellitus with hypoglycemia with coma",158
M90.662,""Osteitis deformans in neoplastic diseases",158
C63.12,"Malignant neoplasm of left spermatic cord",157
K57.5,"Diverticular disease of both small and large intestine without perforation or abscess",157
M24.212,""Disorder of ligament",157
M05.142,"Rheumatoid lung disease with rheumatoid arthritis of left hand",157
F18.17,"Inhalant abuse with inhalant-induced dementia",157
C78.1,"Secondary malignant neoplasm of mediastinum",157
D15.0,"Benign neoplasm of thymus",157
M02.311,""Reiter's disease",157
I24.0,"Acute coronary thrombosis not resulting in myocardial infarction",157
M1A.321,""Chronic gout due to renal impairment",157
M01.X,"Direct infection of joint in infectious and parasitic diseases classified elsewhere",157
I25.41,"Coronary artery aneurysm",157
E09.339,"Drug or chemical induced diabetes mellitus with moderate nonproliferative diabetic retinopathy without macular edema",157
O99.51,"Diseases of the respiratory system complicating pregnancy",157
M11.0,"Hydroxyapatite deposition disease",157
M05.161,"Rheumatoid lung disease with rheumatoid arthritis of right knee",157
F43.23,"Adjustment disorder with mixed anxiety and depressed mood",157
M06.31,""Rheumatoid nodule",157
H30.811,""Harada's disease",157
F40,"Phobic anxiety disorders",157
T46.3X1,""Poisoning by coronary vasodilators",157
M90.59,""Osteonecrosis in diseases classified elsewhere",157
D17.21,"Benign lipomatous neoplasm of skin and subcutaneous tissue of right arm",157
O9A,""Maternal malignant neoplasms",157
D48.4,"Neoplasm of uncertain behavior of peritoneum",156
D14.31,"Benign neoplasm of right bronchus and lung",156
T82.111,"Breakdown (mechanical) of cardiac pulse generator (battery)",156
H47.41,"Disorders of optic chiasm in (due to) inflammatory disorders",156
Y71.3,""Surgical instruments",156
C91.01,""Acute lymphoblastic leukemia",156
M51.05,""Intervertebral disc disorders with myelopathy",156
M06.35,""Rheumatoid nodule",156
C47.21,""Malignant neoplasm of peripheral nerves of right lower limb",156
F06.32,"Mood disorder due to known physiological condition with major depressive-like episode",156
M12.132,""Kaschin-Beck disease",156
O98.611,""Protozoal diseases complicating pregnancy",156
E11.620,"Type 2 diabetes mellitus with diabetic dermatitis",156
F23,"Brief psychotic disorder",156
M02.34,""Reiter's disease",156
M06.241,""Rheumatoid bursitis",156
M50.02,""Cervical disc disorder with myelopathy",156
M06.261,""Rheumatoid bursitis",156
E11.33,"Type 2 diabetes mellitus with moderate nonproliferative diabetic retinopathy",156
D39.12,"Neoplasm of uncertain behavior of left ovary",156
C47.1,""Malignant neoplasm of peripheral nerves of upper limb",156
O24.12,""Pre-existing diabetes mellitus",156
A93.0,"Oropouche virus disease",156
E74.1,"Disorders of fructose metabolism",156
E75.21,"Fabry (-Anderson) disease",156
E09.10,"Drug or chemical induced diabetes mellitus with ketoacidosis without coma",156
F33.42,""Major depressive disorder",156
K50.1,"Crohn's disease of large intestine",156
J84.115,"Respiratory bronchiolitis interstitial lung disease",155
E08.341,"Diabetes mellitus due to underlying condition with severe nonproliferative diabetic retinopathy with macular edema",155
K08.121,""Complete loss of teeth due to periodontal diseases",155
F32.4,""Major depressive disorder",155
R39.2,"Extrarenal uremia",155
E10.620,"Type 1 diabetes mellitus with diabetic dermatitis",155
M63.86,""Disorders of muscle in diseases classified elsewhere",155
I25.75,"Atherosclerosis of native coronary artery of transplanted heart with angina pectoris",155
E08.34,"Diabetes mellitus due to underlying condition with severe nonproliferative diabetic retinopathy",155
F31.61,""Bipolar disorder",155
M06.37,""Rheumatoid nodule",155
O46.023,""Antepartum hemorrhage with disseminated intravascular coagulation",155
Q62.7,"Congenital vesico-uretero-renal reflux",155
M05.13,"Rheumatoid lung disease with rheumatoid arthritis of wrist",155
M84.51,""Pathological fracture in neoplastic disease",155
O26.61,"Liver and biliary tract disorders in pregnancy",155
E75.22,"Gaucher disease",155
I79.1,"Aortitis in diseases classified elsewhere",155
I08.2,"Rheumatic disorders of both aortic and tricuspid valves",155
M11.06,""Hydroxyapatite deposition disease",155
E75.24,"Niemann-Pick disease",155
P70.2,"Neonatal diabetes mellitus",155
M90,"Osteopathies in diseases classified elsewhere",155
G90,"Disorders of autonomic nervous system",155
I97.12,"Postprocedural cardiac arrest",155
C34.32,""Malignant neoplasm of lower lobe",155
M49.87,""Spondylopathy in diseases classified elsewhere",155
C50.0,"Malignant neoplasm of nipple and areola",155
C79.01,"Secondary malignant neoplasm of right kidney and renal pelvis",155
E75.243,"Niemann-Pick disease type D",155
D36.11,""Benign neoplasm of peripheral nerves and autonomic nervous system of face",155
E08.42,"Diabetes mellitus due to underlying condition with diabetic polyneuropathy",155
Z45.0,"Encounter for adjustment and management of cardiac device",155
M84.512,""Pathological fracture in neoplastic disease",155
A69.23,"Arthritis due to Lyme disease",155
J84.112,"Idiopathic pulmonary fibrosis",154
R41.843,"Psychomotor deficit",154
C32.3,"Malignant neoplasm of laryngeal cartilage",154
O9A.53,"Psychological abuse complicating the puerperium",154
C94.30,"Mast cell leukemia not having achieved remission",154
D36.13,""Benign neoplasm of peripheral nerves and autonomic nervous system of lower limb",154
C40.01,"Malignant neoplasm of scapula and long bones of right upper limb",154
E01,"Iodine-deficiency related thyroid disorders and allied conditions",154
C41.4,""Malignant neoplasm of pelvic bones",154
C93.0,"Acute monoblastic/monocytic leukemia",154
H18.822,""Corneal disorder due to contact lens",154
C67.6,"Malignant neoplasm of ureteric orifice",154
C53.8,"Malignant neoplasm of overlapping sites of cervix uteri",154
C49.11,""Malignant neoplasm of connective and soft tissue of right upper limb",154
D35.02,"Benign neoplasm of left adrenal gland",154
K50.012,"Crohn's disease of small intestine with intestinal obstruction",154
T46.0X3,""Poisoning by cardiac-stimulant glycosides and drugs of similar action",154
C69.8,"Malignant neoplasm of overlapping sites of eye and adnexa",154
G54.1,"Lumbosacral plexus disorders",154
F13.14,""Sedative",154
M11.04,""Hydroxyapatite deposition disease",154
O9A.512,""Psychological abuse complicating pregnancy",154
Z13.811,"Encounter for screening for lower gastrointestinal disorder",154
O9A.51,"Psychological abuse complicating pregnancy",154
F11.150,"Opioid abuse with opioid-induced psychotic disorder with delusions",154
C62.0,"Malignant neoplasm of undescended testis",154
M06.352,""Rheumatoid nodule",154
E08.43,"Diabetes mellitus due to underlying condition with diabetic autonomic (poly)neuropathy",154
D43,"Neoplasm of uncertain behavior of brain and central nervous system",154
M11.031,""Hydroxyapatite deposition disease",154
O9A.52,"Psychological abuse complicating childbirth",154
I15.0,"Renovascular hypertension",154
F64.1,"Gender identity disorder in adolescence and adulthood",154
D63,"Anemia in chronic diseases classified elsewhere",154
E11.35,"Type 2 diabetes mellitus with proliferative diabetic retinopathy",153
R94.3,"Abnormal results of cardiovascular function studies",153
N47,"Disorders of prepuce",153
E08.359,"Diabetes mellitus due to underlying condition with proliferative diabetic retinopathy without macular edema",153
S35.411,"Laceration of right renal artery",153
O9A.113,""Malignant neoplasm complicating pregnancy",153
C63.01,"Malignant neoplasm of right epididymis",153
Q60.4,""Renal hypoplasia",153
H47.51,"Disorders of visual pathways in (due to) inflammatory disorders",153
C32.8,"Malignant neoplasm of overlapping sites of larynx",153
J81,"Pulmonary edema",153
E71.32,"Disorders of ketone metabolism",153
S35.41,"Laceration of renal blood vessel",153
C63.1,"Malignant neoplasm of spermatic cord",153
J11,"Influenza due to unidentified influenza virus",153
F51.5,"Nightmare disorder",153
F45.1,"Undifferentiated somatoform disorder",153
D17.71,"Benign lipomatous neoplasm of kidney",153
F52.2,"Sexual arousal disorders",153
C92.2,""Atypical chronic myeloid leukemia",153
E09.36,"Drug or chemical induced diabetes mellitus with diabetic cataract",153
M12.141,""Kaschin-Beck disease",153
G95.1,"Vascular myelopathies",153
O74.2,"Cardiac complications of anesthesia during labor and delivery",153
M10.342,""Gout due to renal impairment",153
F63.81,"Intermittent explosive disorder",153
M63.831,""Disorders of muscle in diseases classified elsewhere",153
M90.612,""Osteitis deformans in neoplastic diseases",153
M51.16,""Intervertebral disc disorders with radiculopathy",153
E10.64,"Type 1 diabetes mellitus with hypoglycemia",153
M10.39,""Gout due to renal impairment",153
P29.1,"Neonatal cardiac dysrhythmia",153
C69.5,"Malignant neoplasm of lacrimal gland and duct",153
F41.1,"Generalized anxiety disorder",153
M05.231,"Rheumatoid vasculitis with rheumatoid arthritis of right wrist",153
C49.8,"Malignant neoplasm of overlapping sites of connective and soft tissue",153
C62.1,"Malignant neoplasm of descended testis",152
N01.6,"Rapidly progressive nephritic syndrome with dense deposit disease",152
M51.06,""Intervertebral disc disorders with myelopathy",152
D29.31,"Benign neoplasm of right epididymis",152
C91.52,""Adult T-cell lymphoma/leukemia (HTLV-1-associated)",152
G54.2,""Cervical root disorders",152
J35,"Chronic diseases of tonsils and adenoids",152
D10.7,"Benign neoplasm of hypopharynx",152
M90.64,""Osteitis deformans in neoplastic diseases",152
E08.61,"Diabetes mellitus due to underlying condition with diabetic arthropathy",152
O08.81,"Cardiac arrest following an ectopic and molar pregnancy",152
M05.12,"Rheumatoid lung disease with rheumatoid arthritis of elbow",152
E09.620,"Drug or chemical induced diabetes mellitus with diabetic dermatitis",152
T46.3X6,"Underdosing of coronary vasodilators",152
G31.83,"Dementia with Lewy bodies",152
M84.56,""Pathological fracture in neoplastic disease",152
G23.0,"Hallervorden-Spatz disease",152
F60.3,"Borderline personality disorder",152
N71.1,"Chronic inflammatory disease of uterus",152
H05.321,"Deformity of right orbit due to bone disease",152
C06.2,"Malignant neoplasm of retromolar area",152
M05.34,"Rheumatoid heart disease with rheumatoid arthritis of hand",152
E08.10,"Diabetes mellitus due to underlying condition with ketoacidosis without coma",152
C69.41,"Malignant neoplasm of right ciliary body",152
P26.1,"Massive pulmonary hemorrhage originating in the perinatal period",152
I26,"Pulmonary embolism",152
C79.02,"Secondary malignant neoplasm of left kidney and renal pelvis",152
E09.33,"Drug or chemical induced diabetes mellitus with moderate nonproliferative diabetic retinopathy",152
M05.261,"Rheumatoid vasculitis with rheumatoid arthritis of right knee",152
C26.9,"Malignant neoplasm of ill-defined sites within the digestive system",152
C32.1,"Malignant neoplasm of supraglottis",152
F98.21,"Rumination disorder of infancy",152
C49.22,""Malignant neoplasm of connective and soft tissue of left lower limb",152
F14,"Cocaine related disorders",152
C92.41,""Acute promyelocytic leukemia",152
J20.4,"Acute bronchitis due to parainfluenza virus",152
H52.5,"Disorders of accommodation",152
D17.4,"Benign lipomatous neoplasm of intrathoracic organs",152
G47.24,""Circadian rhythm sleep disorder",152
M05.262,"Rheumatoid vasculitis with rheumatoid arthritis of left knee",152
O98,""Maternal infectious and parasitic diseases classifiable elsewhere but complicating pregnancy",152
Y71.8,""Miscellaneous cardiovascular devices associated with adverse incidents",152
M06.252,""Rheumatoid bursitis",151
F31.2,""Bipolar disorder",151
E83,"Disorders of mineral metabolism",151
M49,"Spondylopathies in diseases classified elsewhere",151
F44.6,"Conversion disorder with sensory symptom or deficit",151
K08.123,""Complete loss of teeth due to periodontal diseases",151
M84.521,""Pathological fracture in neoplastic disease",151
C79.82,"Secondary malignant neoplasm of genital organs",151
C18.5,"Malignant neoplasm of splenic flexure",151
M63.832,""Disorders of muscle in diseases classified elsewhere",151
I27.1,"Kyphoscoliotic heart disease",151
E08.52,"Diabetes mellitus due to underlying condition with diabetic peripheral angiopathy with gangrene",151
D13.6,"Benign neoplasm of pancreas",151
Z91.15,"Patient's noncompliance with renal dialysis",151
C00.1,"Malignant neoplasm of external lower lip",151
M05.241,"Rheumatoid vasculitis with rheumatoid arthritis of right hand",151
J09.X,"Influenza due to identified novel influenza A virus",151
M24.28,""Disorder of ligament",151
C92.01,""Acute myeloblastic leukemia",151
H02.872,"Vascular anomalies of right lower eyelid",151
E08.65,"Diabetes mellitus due to underlying condition with hyperglycemia",151
M11.021,""Hydroxyapatite deposition disease",151
H47.631,""Disorders of visual cortex in (due to) neoplasm",151
I26.9,"Pulmonary embolism without acute cor pulmonale",151
E09.9,"Drug or chemical induced diabetes mellitus without complications",151
F33.3,""Major depressive disorder",151
M1A.352,""Chronic gout due to renal impairment",151
O10.213,""Pre-existing hypertensive chronic kidney disease complicating pregnancy",151
E11.9,"Type 2 diabetes mellitus without complications",151
M02.341,""Reiter's disease",151
M84.575,""Pathological fracture in neoplastic disease",151
I23.3,"Rupture of cardiac wall without hemopericardium as current complication following acute myocardial infarction",151
A22.1,"Pulmonary anthrax",151
C12,"Malignant neoplasm of pyriform sinus",151
D31.3,"Benign neoplasm of choroid",151
E08.33,"Diabetes mellitus due to underlying condition with moderate nonproliferative diabetic retinopathy",151
C72.3,"Malignant neoplasm of optic nerve",151
C79.31,"Secondary malignant neoplasm of brain",151
D12.3,"Benign neoplasm of transverse colon",151
K50.8,"Crohn's disease of both small and large intestine",151
F21,"Schizotypal disorder",151
D42,"Neoplasm of uncertain behavior of meninges",151
O29.0,"Pulmonary complications of anesthesia during pregnancy",151
O10.12,"Pre-existing hypertensive heart disease complicating childbirth",151
O10.112,""Pre-existing hypertensive heart disease complicating pregnancy",151
M05.352,"Rheumatoid heart disease with rheumatoid arthritis of left hip",151
M05.14,"Rheumatoid lung disease with rheumatoid arthritis of hand",151
M84.53,""Pathological fracture in neoplastic disease",151
A69.21,"Meningitis due to Lyme disease",151
D37.03,"Neoplasm of uncertain behavior of the major salivary glands",151
B97.3,"Retrovirus as the cause of diseases classified elsewhere",151
J44.0,"Chronic obstructive pulmonary disease with acute lower respiratory infection",151
T46.3X5,"Adverse effect of coronary vasodilators",151
C40.81,"Malignant neoplasm of overlapping sites of bone and articular cartilage of right limb",151
C34.31,""Malignant neoplasm of lower lobe",150
A28.1,"Cat-scratch disease",150
M12.18,""Kaschin-Beck disease",150
K57.3,"Diverticular disease of large intestine without perforation or abscess",150
Z13.71,"Encounter for nonprocreative screening for genetic disease carrier status",150
M84.552,""Pathological fracture in neoplastic disease",150
E09.52,"Drug or chemical induced diabetes mellitus with diabetic peripheral angiopathy with gangrene",150
C72.31,"Malignant neoplasm of right optic nerve",150
M05.72,"Rheumatoid arthritis with rheumatoid factor of elbow without organ or systems involvement",150
E70,"Disorders of aromatic amino-acid metabolism",150
P60,"Disseminated intravascular coagulation of newborn",150
C93.1,"Chronic myelomonocytic leukemia",150
A81.0,"Creutzfeldt-Jakob disease",150
A98.4,"Ebola virus disease",150
L91,"Hypertrophic disorders of skin",150
M24.275,""Disorder of ligament",150
T46.3,""Poisoning by",150
M63.822,""Disorders of muscle in diseases classified elsewhere",150
M12.142,""Kaschin-Beck disease",150
M05.211,"Rheumatoid vasculitis with rheumatoid arthritis of right shoulder",150
O07.33,"Metabolic disorder following failed attempted termination of pregnancy",150
D42.0,"Neoplasm of uncertain behavior of cerebral meninges",150
M12.131,""Kaschin-Beck disease",150
Z13.810,"Encounter for screening for upper gastrointestinal disorder",150
F33,""Major depressive disorder",150
C94.2,"Acute megakaryoblastic leukemia",150
B97.21,"SARS-associated coronavirus as the cause of diseases classified elsewhere",150
O10.22,"Pre-existing hypertensive chronic kidney disease complicating childbirth",150
C54.1,"Malignant neoplasm of endometrium",150
M90.872,""Osteopathy in diseases classified elsewhere",150
M12.14,""Kaschin-Beck disease",150
H75.01,""Mastoiditis in infectious and parasitic diseases classified elsewhere",150
N52.1,"Erectile dysfunction due to diseases classified elsewhere",150
E10.1,"Type 1 diabetes mellitus with ketoacidosis",150
Z15,"Genetic susceptibility to disease",150
D14.32,"Benign neoplasm of left bronchus and lung",150
O10.33,"Pre-existing hypertensive heart and chronic kidney disease complicating the puerperium",150
Z95.810,"Presence of automatic (implantable) cardiac defibrillator",150
M05.732,"Rheumatoid arthritis with rheumatoid factor of left wrist without organ or systems involvement",150
C18,"Malignant neoplasm of colon",150
F33.2,""Major depressive disorder",150
Z12.6,"Encounter for screening for malignant neoplasm of bladder",150
H47.63,"Disorders of visual cortex in (due to) neoplasm",150
M06.322,""Rheumatoid nodule",150
D63.1,"Anemia in chronic kidney disease",150
I25.730,"Atherosclerosis of nonautologous biological coronary artery bypass graft(s) with unstable angina pectoris",150
C40.82,"Malignant neoplasm of overlapping sites of bone and articular cartilage of left limb",150
M1A.3,"Chronic gout due to renal impairment",150
H30.813,""Harada's disease",150
G47.23,""Circadian rhythm sleep disorder",150
I11.0,"Hypertensive heart disease with heart failure",149
G05.3,"Encephalitis and encephalomyelitis in diseases classified elsewhere",149
M06.341,""Rheumatoid nodule",149
G31.01,"Pick's disease",149
Z12.81,"Encounter for screening for malignant neoplasm of oral cavity",149
C84.16,""S",149
I28.0,"Arteriovenous fistula of pulmonary vessels",149
D31.5,"Benign neoplasm of lacrimal gland and duct",149
B95,""Streptococcus",149
H05.32,"Deformity of orbit due to bone disease",149
C72.0,"Malignant neoplasm of spinal cord",149
C90.1,"Plasma cell leukemia",149
E08.51,"Diabetes mellitus due to underlying condition with diabetic peripheral angiopathy without gangrene",149
E10.36,"Type 1 diabetes mellitus with diabetic cataract",149
M63.84,""Disorders of muscle in diseases classified elsewhere",149
E09,"Drug or chemical induced diabetes mellitus",149
M90.661,""Osteitis deformans in neoplastic diseases",149
M06.231,""Rheumatoid bursitis",149
C65,"Malignant neoplasm of renal pelvis",149
F12.151,"Cannabis abuse with psychotic disorder with hallucinations",149
F14.151,"Cocaine abuse with cocaine-induced psychotic disorder with hallucinations",149
M01.X8,"Direct infection of vertebrae in infectious and parasitic diseases classified elsewhere",149
C47.3,"Malignant neoplasm of peripheral nerves of thorax",149
I97.82,"Postprocedural cerebrovascular infarction",149
L14,"Bullous disorders in diseases classified elsewhere",149
C48.8,"Malignant neoplasm of overlapping sites of retroperitoneum and peritoneum",149
C69.4,"Malignant neoplasm of ciliary body",149
M02.31,""Reiter's disease",149
P27,"Chronic respiratory disease originating in the perinatal period",149
C79.7,"Secondary malignant neoplasm of adrenal gland",149
D44.4,"Neoplasm of uncertain behavior of craniopharyngeal duct",149
K13.0,"Diseases of lips",149
C75.3,"Malignant neoplasm of pineal gland",149
O99.353,""Diseases of the nervous system complicating pregnancy",149
F45,"Somatoform disorders",149
N08,"Glomerular disorders in diseases classified elsewhere",149
E09.41,"Drug or chemical induced diabetes mellitus with neurological complications with diabetic mononeuropathy",149
M11.03,""Hydroxyapatite deposition disease",149
G52.3,"Disorders of hypoglossal nerve",149
C76.4,"Malignant neoplasm of upper limb",149
I37.2,"Nonrheumatic pulmonary valve stenosis with insufficiency",149
M51.1,""Thoracic",149
H93.3X,"Disorders of acoustic nerve",149
N25.1,"Nephrogenic diabetes insipidus",149
C91.4,"Hairy cell leukemia",149
B41.0,"Pulmonary paracoccidioidomycosis",149
Z12.83,"Encounter for screening for malignant neoplasm of skin",149
O24.112,""Pre-existing diabetes mellitus",149
M01.X61,"Direct infection of right knee in infectious and parasitic diseases classified elsewhere",149
F11.151,"Opioid abuse with opioid-induced psychotic disorder with hallucinations",149
M06.022,""Rheumatoid arthritis without rheumatoid factor",149
O98.6,""Protozoal diseases complicating pregnancy",149
O9A.511,""Psychological abuse complicating pregnancy",149
C16.2,"Malignant neoplasm of body of stomach",149
F52.1,"Sexual aversion disorder",149
M06.331,""Rheumatoid nodule",149
M90.69,""Osteitis deformans in neoplastic diseases",149
M10.322,""Gout due to renal impairment",149
M05.541,"Rheumatoid polyneuropathy with rheumatoid arthritis of right hand",149
C69.01,"Malignant neoplasm of right conjunctiva",149
M02.39,""Reiter's disease",149
M1A.37,""Chronic gout due to renal impairment",149
F12.150,"Cannabis abuse with psychotic disorder with delusions",148
B46.0,"Pulmonary mucormycosis",148
T43.3X2,""Poisoning by phenothiazine antipsychotics and neuroleptics",148
K57.1,"Diverticular disease of small intestine without perforation or abscess",148
F60.6,"Avoidant personality disorder",148
F60.2,"Antisocial personality disorder",148
M10.312,""Gout due to renal impairment",148
E08.5,"Diabetes mellitus due to underlying condition with circulatory complications",148
H26.221,""Cataract secondary to ocular disorders (degenerative) (inflammatory)",148
O46.022,""Antepartum hemorrhage with disseminated intravascular coagulation",148
J43.0,"Unilateral pulmonary emphysema [MacLeod's syndrome]",148
E83.3,"Disorders of phosphorus metabolism and phosphatases",148
M1A.38,""Chronic gout due to renal impairment",148
M06.2,"Rheumatoid bursitis",148
O99.6,""Diseases of the digestive system complicating pregnancy",148
M50.0,"Cervical disc disorder with myelopathy",148
P07,""Disorders of newborn related to short gestation and low birth weight",148
Z13.0,"Encounter for screening for diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism",148
N04.6,"Nephrotic syndrome with dense deposit disease",148
C40.0,"Malignant neoplasm of scapula and long bones of upper limb",148
C57.12,"Malignant neoplasm of left broad ligament",148
I97.410,"Intraoperative hemorrhage and hematoma of a circulatory system organ or structure complicating a cardiac catheterization",148
F80.81,"Childhood onset fluency disorder",148
H93.3X2,"Disorders of left acoustic nerve",148
D44.3,"Neoplasm of uncertain behavior of pituitary gland",148
M05.1,"Rheumatoid lung disease with rheumatoid arthritis",148
F30.11,""Manic episode without psychotic symptoms",148
I37,"Nonrheumatic pulmonary valve disorders",148
F30.13,""Manic episode",148
H47.62,"Disorders of visual cortex in (due to) inflammatory disorders",148
K05,"Gingivitis and periodontal diseases",148
E10.351,"Type 1 diabetes mellitus with proliferative diabetic retinopathy with macular edema",148
